Province_State,Lat,Long_
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
Khyber Pakhtunkhwa,34.485332,72.09169
Punjab,30.811346,72.139132
Sindh,26.009446,68.776807
Azad Jammu and Kashmir,34.027401,73.947253
Balochistan,28.328492,65.898403
Gilgit-Baltistan,35.792146,74.982138
Islamabad,33.665087,73.121219
